district_slug,crop_code,week_of_year,stage,risk_notes_en,risk_notes_ne
kailali,paddy,1,post-harvest,"Dry, grade and store produce properly; hermetic bags reduce storage pest losses.","उपज राम्ररी सुकाएर, छानेर भण्डारण गर्नुहोस्; हावा नछिर्ने बोराले भण्डारण कीराको क्षति घटाउँछ।"
kailali,paddy,2,post-harvest,"Dry, grade and store produce properly; hermetic bags reduce storage pest losses.","उपज राम्ररी सुकाएर, छानेर भण्डारण गर्नुहोस्; हावा नछिर्ने बोराले भण्डारण कीराको क्षति घटाउँछ।"
kailali,paddy,3,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,4,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,5,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,6,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,7,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,8,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,9,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,10,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,11,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,12,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,13,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,14,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,15,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,16,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,17,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,18,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,19,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,20,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,21,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,22,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,23,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,paddy,24,land-prep,Prepare bunds and puddle fields; pre-monsoon showers can be erratic — keep nursery seedbeds on higher ground.,आली मर्मत र खेत हिलाउने काम गर्नुहोस्; मनसुनअघिको वर्षा अनियमित हुनसक्छ — बीउ ब्याड अग्लो ठाउँमा राख्नुहोस्।
kailali,paddy,25,land-prep,Prepare bunds and puddle fields; pre-monsoon showers can be erratic — keep nursery seedbeds on higher ground.,आली मर्मत र खेत हिलाउने काम गर्नुहोस्; मनसुनअघिको वर्षा अनियमित हुनसक्छ — बीउ ब्याड अग्लो ठाउँमा राख्नुहोस्।
kailali,paddy,26,land-prep,Prepare bunds and puddle fields; pre-monsoon showers can be erratic — keep nursery seedbeds on higher ground.,आली मर्मत र खेत हिलाउने काम गर्नुहोस्; मनसुनअघिको वर्षा अनियमित हुनसक्छ — बीउ ब्याड अग्लो ठाउँमा राख्नुहोस्।
kailali,paddy,27,sowing,Transplant 20–25 day seedlings with monsoon onset; delayed monsoon may require supplemental irrigation.,मनसुन सुरु भएसँगै २०–२५ दिनका बेर्ना रोप्नुहोस्; मनसुन ढिलो भए थप सिँचाइ आवश्यक पर्न सक्छ।
kailali,paddy,28,sowing,Transplant 20–25 day seedlings with monsoon onset; delayed monsoon may require supplemental irrigation.,मनसुन सुरु भएसँगै २०–२५ दिनका बेर्ना रोप्नुहोस्; मनसुन ढिलो भए थप सिँचाइ आवश्यक पर्न सक्छ।
kailali,paddy,29,sowing,Transplant 20–25 day seedlings with monsoon onset; delayed monsoon may require supplemental irrigation.,मनसुन सुरु भएसँगै २०–२५ दिनका बेर्ना रोप्नुहोस्; मनसुन ढिलो भए थप सिँचाइ आवश्यक पर्न सक्छ।
kailali,paddy,30,sowing,Transplant 20–25 day seedlings with monsoon onset; delayed monsoon may require supplemental irrigation.,मनसुन सुरु भएसँगै २०–२५ दिनका बेर्ना रोप्नुहोस्; मनसुन ढिलो भए थप सिँचाइ आवश्यक पर्न सक्छ।
kailali,paddy,31,sowing,Transplant 20–25 day seedlings with monsoon onset; delayed monsoon may require supplemental irrigation.,मनसुन सुरु भएसँगै २०–२५ दिनका बेर्ना रोप्नुहोस्; मनसुन ढिलो भए थप सिँचाइ आवश्यक पर्न सक्छ।
kailali,paddy,32,vegetative,Peak monsoon: watch for flooding in low fields and stem borer after heavy rain.,मनसुनको चरम समय: होचा खेतमा डुबान र भारी वर्षापछि गवारो कीराको निगरानी गर्नुहोस्।
kailali,paddy,33,vegetative,Peak monsoon: watch for flooding in low fields and stem borer after heavy rain.,मनसुनको चरम समय: होचा खेतमा डुबान र भारी वर्षापछि गवारो कीराको निगरानी गर्नुहोस्।
kailali,paddy,34,vegetative,Peak monsoon: watch for flooding in low fields and stem borer after heavy rain.,मनसुनको चरम समय: होचा खेतमा डुबान र भारी वर्षापछि गवारो कीराको निगरानी गर्नुहोस्।
kailali,paddy,35,vegetative,Peak monsoon: watch for flooding in low fields and stem borer after heavy rain.,मनसुनको चरम समय: होचा खेतमा डुबान र भारी वर्षापछि गवारो कीराको निगरानी गर्नुहोस्।
kailali,paddy,36,vegetative,Peak monsoon: watch for flooding in low fields and stem borer after heavy rain.,मनसुनको चरम समय: होचा खेतमा डुबान र भारी वर्षापछि गवारो कीराको निगरानी गर्नुहोस्।
kailali,paddy,37,vegetative,Peak monsoon: watch for flooding in low fields and stem borer after heavy rain.,मनसुनको चरम समय: होचा खेतमा डुबान र भारी वर्षापछि गवारो कीराको निगरानी गर्नुहोस्।
kailali,paddy,38,flowering,Critical water-sensitive stage — do not let fields dry; late-monsoon dry spells reduce grain set.,पानीप्रति अति संवेदनशील चरण — खेत सुक्न नदिनुहोस्; मनसुन अन्त्यको खडेरीले दाना कम लाग्न सक्छ।
kailali,paddy,39,flowering,Critical water-sensitive stage — do not let fields dry; late-monsoon dry spells reduce grain set.,पानीप्रति अति संवेदनशील चरण — खेत सुक्न नदिनुहोस्; मनसुन अन्त्यको खडेरीले दाना कम लाग्न सक्छ।
kailali,paddy,40,flowering,Critical water-sensitive stage — do not let fields dry; late-monsoon dry spells reduce grain set.,पानीप्रति अति संवेदनशील चरण — खेत सुक्न नदिनुहोस्; मनसुन अन्त्यको खडेरीले दाना कम लाग्न सक्छ।
kailali,paddy,41,flowering,Critical water-sensitive stage — do not let fields dry; late-monsoon dry spells reduce grain set.,पानीप्रति अति संवेदनशील चरण — खेत सुक्न नदिनुहोस्; मनसुन अन्त्यको खडेरीले दाना कम लाग्न सक्छ।
kailali,paddy,42,grain-fill,Post-monsoon rain and lodging risk; drain fields 10–15 days before expected harvest.,मनसुनपछिको वर्षा र बाली ढल्ने जोखिम; कटानीको १०–१५ दिनअघि खेतको पानी निकास गर्नुहोस्।
kailali,paddy,43,grain-fill,Post-monsoon rain and lodging risk; drain fields 10–15 days before expected harvest.,मनसुनपछिको वर्षा र बाली ढल्ने जोखिम; कटानीको १०–१५ दिनअघि खेतको पानी निकास गर्नुहोस्।
kailali,paddy,44,grain-fill,Post-monsoon rain and lodging risk; drain fields 10–15 days before expected harvest.,मनसुनपछिको वर्षा र बाली ढल्ने जोखिम; कटानीको १०–१५ दिनअघि खेतको पानी निकास गर्नुहोस्।
kailali,paddy,45,grain-fill,Post-monsoon rain and lodging risk; drain fields 10–15 days before expected harvest.,मनसुनपछिको वर्षा र बाली ढल्ने जोखिम; कटानीको १०–१५ दिनअघि खेतको पानी निकास गर्नुहोस्।
kailali,paddy,46,harvest,Harvest at 20–22% grain moisture; unseasonal October–November rain can cause sprouting in stacked paddy.,दाना २०–२२% चिस्यानमा कटानी गर्नुहोस्; कात्तिक–मंसिरको बेमौसमी वर्षाले थुपारेको धानमा टुसा उम्रन सक्छ।
